d_max(um);d_min(um);d_avg(um);delta d 
22.365 ; 22.076 ; 22.221 ; 0.289
22.308 ; 22.029 ; 22.169 ; 0.279
22.67 ; 22.429 ; 22.55 ; 0.24
22.603 ; 22.276 ; 22.44 ; 0.327
22.39 ; 22.149 ; 22.27 ; 0.242
22.366 ; 21.944 ; 22.155 ; 0.422
21.91 ; 21.675 ; 21.793 ; 0.235
21.762 ; 21.652 ; 21.707 ; 0.11
22.053 ; 21.683 ; 21.868 ; 0.37
22.409 ; 21.503 ; 21.956 ; 0.906
22.182 ; 21.664 ; 21.923 ; 0.518
22.029 ; 21.693 ; 21.861 ; 0.336
22.316 ; 22.152 ; 22.234 ; 0.164
22.238 ; 22.0 ; 22.119 ; 0.238
22.23 ; 22.085 ; 22.157 ; 0.144
22.46 ; 22.151 ; 22.305 ; 0.31
22.285 ; 21.979 ; 22.132 ; 0.305
22.333 ; 22.234 ; 22.284 ; 0.099
22.737 ; 21.901 ; 22.319 ; 0.836
22.147 ; 21.971 ; 22.059 ; 0.177
22.538 ; 21.871 ; 22.204 ; 0.667
22.421 ; 21.744 ; 22.082 ; 0.678
22.263 ; 21.853 ; 22.058 ; 0.41
22.79 ; 21.86 ; 22.325 ; 0.93
22.168 ; 22.002 ; 22.085 ; 0.166
22.462 ; 22.071 ; 22.266 ; 0.391
22.389 ; 22.067 ; 22.228 ; 0.322
21.841 ; 21.722 ; 21.782 ; 0.119
22.4 ; 22.154 ; 22.277 ; 0.245
22.355 ; 22.219 ; 22.287 ; 0.137
22.461 ; 21.939 ; 22.2 ; 0.522
22.752 ; 21.774 ; 22.263 ; 0.978
22.827 ; 21.982 ; 22.404 ; 0.846
22.351 ; 21.926 ; 22.139 ; 0.425
22.725 ; 21.8 ; 22.262 ; 0.925
22.492 ; 22.092 ; 22.292 ; 0.4
22.398 ; 22.227 ; 22.312 ; 0.171
21.788 ; 21.617 ; 21.703 ; 0.171
22.291 ; 22.215 ; 22.253 ; 0.075
22.709 ; 22.186 ; 22.447 ; 0.523
22.392 ; 21.406 ; 21.899 ; 0.986
22.474 ; 22.275 ; 22.374 ; 0.199
22.574 ; 22.119 ; 22.347 ; 0.455
22.4 ; 22.026 ; 22.213 ; 0.374
22.532 ; 22.048 ; 22.29 ; 0.484
22.289 ; 22.041 ; 22.165 ; 0.248
22.405 ; 22.132 ; 22.268 ; 0.273
22.358 ; 21.925 ; 22.141 ; 0.433
21.734 ; 21.365 ; 21.55 ; 0.368
22.112 ; 21.517 ; 21.814 ; 0.595
22.184 ; 22.051 ; 22.118 ; 0.133
21.372 ; 21.313 ; 21.343 ; 0.059
21.591 ; 21.447 ; 21.519 ; 0.144
21.725 ; 21.553 ; 21.639 ; 0.172
22.397 ; 22.011 ; 22.204 ; 0.387
22.547 ; 22.087 ; 22.317 ; 0.46
22.337 ; 21.892 ; 22.115 ; 0.445
22.214 ; 21.915 ; 22.064 ; 0.299
22.609 ; 22.011 ; 22.31 ; 0.597
23.135 ; 21.895 ; 22.515 ; 1.24
22.385 ; 22.116 ; 22.251 ; 0.268
22.423 ; 22.051 ; 22.237 ; 0.372
22.446 ; 22.102 ; 22.274 ; 0.344
22.486 ; 21.858 ; 22.172 ; 0.628
22.524 ; 22.042 ; 22.283 ; 0.482
22.509 ; 22.171 ; 22.34 ; 0.338
22.44 ; 22.063 ; 22.251 ; 0.376
22.685 ; 22.057 ; 22.371 ; 0.628
22.775 ; 22.219 ; 22.497 ; 0.556
23.456 ; 21.89 ; 22.673 ; 0.567
23.022 ; 21.985 ; 22.503 ; 1.037
22.594 ; 22.163 ; 22.379 ; 0.431
22.542 ; 21.891 ; 22.216 ; 0.651
22.563 ; 21.957 ; 22.26 ; 0.606
22.775 ; 21.807 ; 22.291 ; 0.967
22.696 ; 21.912 ; 22.304 ; 0.784
22.814 ; 21.957 ; 22.385 ; 0.858
22.645 ; 22.018 ; 22.331 ; 0.627
22.651 ; 21.885 ; 22.268 ; 0.766
22.516 ; 22.146 ; 22.331 ; 0.37
22.415 ; 21.993 ; 22.204 ; 0.422
22.484 ; 22.069 ; 22.276 ; 0.416
23.504 ; 22.064 ; 22.784 ; 1.44
22.654 ; 22.233 ; 22.444 ; 0.422
22.861 ; 21.918 ; 22.39 ; 0.943
22.677 ; 22.063 ; 22.37 ; 0.614
22.723 ; 22.325 ; 22.524 ; 0.397
22.856 ; 21.8 ; 22.328 ; 1.055
22.758 ; 21.935 ; 22.347 ; 0.823
22.575 ; 22.12 ; 22.348 ; 0.455
22.428 ; 22.184 ; 22.306 ; 0.244
22.646 ; 22.134 ; 22.39 ; 0.512
22.291 ; 21.963 ; 22.127 ; 0.328
22.704 ; 21.902 ; 22.303 ; 0.802
22.61 ; 22.152 ; 22.381 ; 0.458
22.718 ; 22.198 ; 22.458 ; 0.519
22.185 ; 20.614 ; 21.399 ; 1.571
22.737 ; 21.887 ; 22.312 ; 0.85
22.644 ; 22.147 ; 22.396 ; 0.496
22.538 ; 22.315 ; 22.427 ; 0.223
22.571 ; 22.319 ; 22.445 ; 0.253
22.828 ; 21.963 ; 22.396 ; 0.865
22.636 ; 22.335 ; 22.485 ; 0.301
23.789 ; 22.424 ; 23.106 ; 1.366
22.017 ; 21.743 ; 21.88 ; 0.273
22.618 ; 22.008 ; 22.313 ; 0.609
22.832 ; 22.576 ; 22.704 ; 0.256
22.704 ; 22.342 ; 22.523 ; 0.362
22.776 ; 22.609 ; 22.693 ; 0.167
22.712 ; 22.201 ; 22.456 ; 0.511
22.509 ; 22.283 ; 22.396 ; 0.226
22.566 ; 22.236 ; 22.401 ; 0.331
22.751 ; 22.287 ; 22.519 ; 0.464
22.734 ; 22.171 ; 22.453 ; 0.562
22.72 ; 22.391 ; 22.556 ; 0.329
23.171 ; 22.541 ; 22.856 ; 0.63
22.069 ; 21.972 ; 22.02 ; 0.098
21.913 ; 21.785 ; 21.849 ; 0.127
22.199 ; 21.868 ; 22.033 ; 0.332
22.16 ; 21.929 ; 22.044 ; 0.232
22.232 ; 22.002 ; 22.117 ; 0.23
22.35 ; 22.062 ; 22.206 ; 0.288
22.564 ; 22.291 ; 22.428 ; 0.273
22.629 ; 22.272 ; 22.451 ; 0.356
23.049 ; 22.273 ; 22.661 ; 0.776
22.69 ; 22.28 ; 22.485 ; 0.41
22.623 ; 22.338 ; 22.48 ; 0.285
22.989 ; 22.279 ; 22.634 ; 0.711
21.996 ; 21.762 ; 21.879 ; 0.233
22.828 ; 22.735 ; 22.781 ; 0.093
22.262 ; 21.688 ; 21.975 ; 0.574
22.175 ; 21.567 ; 21.871 ; 0.609
21.651 ; 21.19 ; 21.42 ; 0.461
21.974 ; 21.555 ; 21.765 ; 0.419
22.803 ; 22.45 ; 22.626 ; 0.353
23.238 ; 22.183 ; 22.71 ; 1.055
22.643 ; 22.212 ; 22.427 ; 0.431
22.926 ; 22.14 ; 22.533 ; 0.786
22.859 ; 22.237 ; 22.548 ; 0.623
22.798 ; 22.329 ; 22.564 ; 0.468
22.279 ; 21.811 ; 22.045 ; 0.468
21.515 ; 21.107 ; 21.311 ; 0.409
22.958 ; 22.605 ; 22.781 ; 0.353
21.725 ; 21.079 ; 21.402 ; 0.646
22.037 ; 21.394 ; 21.715 ; 0.643
21.572 ; 20.987 ; 21.28 ; 0.585
22.697 ; 22.371 ; 22.534 ; 0.326
22.368 ; 22.212 ; 22.29 ; 0.155
23.033 ; 22.138 ; 22.586 ; 0.895
22.534 ; 22.007 ; 22.271 ; 0.527
22.263 ; 22.054 ; 22.158 ; 0.21
22.695 ; 22.029 ; 22.362 ; 0.666
21.644 ; 21.505 ; 21.575 ; 0.139
21.736 ; 21.27 ; 21.503 ; 0.466
21.483 ; 21.122 ; 21.303 ; 0.36
21.654 ; 21.141 ; 21.398 ; 0.514
21.752 ; 21.182 ; 21.467 ; 0.571
21.703 ; 21.095 ; 21.399 ; 0.607
22.615 ; 22.053 ; 22.334 ; 0.562
22.597 ; 22.28 ; 22.439 ; 0.316
23.104 ; 22.107 ; 22.605 ; 0.997
22.559 ; 22.114 ; 22.337 ; 0.445
22.581 ; 22.254 ; 22.418 ; 0.327
22.816 ; 22.249 ; 22.532 ; 0.567
21.698 ; 21.348 ; 21.523 ; 0.35
21.609 ; 21.264 ; 21.436 ; 0.345
22.08 ; 21.95 ; 22.015 ; 0.13
22.162 ; 21.739 ; 21.95 ; 0.424
22.154 ; 21.946 ; 22.0 ; 0.207
22.028 ; 21.707 ; 21.867 ; 0.322
22.4 ; 22.025 ; 22.213 ; 0.376
22.397 ; 21.998 ; 22.197 ; 0.399
22.455 ; 21.992 ; 22.223 ; 0.463
22.441 ; 22.019 ; 22.23 ; 0.423
22.714 ; 21.955 ; 22.335 ; 0.759
22.493 ; 22.131 ; 22.312 ; 0.362
22.624 ; 22.376 ; 22.5 ; 0.248
22.815 ; 22.215 ; 22.515 ; 0.601
22.276 ; 21.659 ; 21.968 ; 0.617
22.023 ; 20.851 ; 21.937 ; 0.173
22.061 ; 21.475 ; 21.768 ; 0.587
21.316 ; 21.058 ; 21.187 ; 0.257
22.307 ; 22.18 ; 22.244 ; 0.127
22.454 ; 22.107 ; 22.28 ; 0.347
22.563 ; 22.051 ; 22.307 ; 0.513
22.325 ; 22.1 ; 22.213 ; 0.225
22.272 ; 22.206 ; 22.239 ; 0.065
22.576 ; 22.177 ; 22.377 ; 0.4
21.967 ;21.749 ; 21.858 ; 0.218
22.085 ; 21.275 ; 21.68 ; 0.81
21.534 ; 28.818 ; 21.176 ; 0.716
22.032 ; 21.122 ; 21.577 ; 0.41
22.131 ; 21.31 ; 21.721 ; 0.821
21.852 ; 21.16 ; 21.506 ; 0.692
21.807 ; 21.287 ; 21.547 ; 0.52
22.861 ; 22.634 ; 22.747 ; 0.127
22.235 ; 21.253 ; 21.744 ; 0.482
21.946 ; 21.263 ; 21.604 ; 0.682
22.756 ; 21.908 ; 22.332 ; 0.448
21.934 ; 21.478 ; 21.706 ; 0.455
22.48 ; 21.851 ; 21.666 ; 0.229
22.601 ; 21.062 ; 21.831 ;0.54
22.336 ; 21.402 ; 21.869 ; 0.935
21.165 ; 21.527 ; 21.346 ; 0.639
22.328 ; 22.162 ; 22.245 ; 0.166
22.154 ; 22.081 ; 22.117 ; 0.073
22.284 ; 21.997 ; 22.14 ; 0.287
22.279 ; 22.095 ; 22.187 ; 0.184
22.287 ; 22.044 ; 22.166 ; 0.243
22.456 ; 22.141 ; 22.299 ; 0.315
22.361 ; 21.935 ; 22.148 ; 0.425
22.402 ; 22.082 ; 22.242 ; 0.32
22.426 ; 22.164 ; 22.295 ; 0.262
22.291 ; 22.108 ; 22.2 ; 0.183
22.311 ; 22.114 ; 22.212 ; 0.197
22.268 ; 22.142 ; 22.205 ; 0.125
