d_max(um);d_min(um);d_avg(um);delta d 
103.676 ; 102.537 ; 103.107 ; 1.139
103.214 ; 102.29 ; 102.752 ; 0.924
103.833 ; 102.406 ; 103.119 ; 1.427
103.841 ; 102.611 ; 103.226 ; 1.231
103.243 ; 102.632 ; 102.937 ; 0.611
103.383 ; 102.554 ; 102.969 ; 0.83
103.103 ; 101.546 ; 102.325 ; 1.557
101.895 ; 100.35 ; 101.123 ; 1.545
102.942 ; 101.329 ; 102.135 ; 1.613
102.499 ; 101.312 ; 101.905 ; 1.187
101.943 ; 101.477 ; 101.71 ; 0.466
102.495 ; 101.754 ; 102.124 ; 0.741
101.723 ;100.754 ; 101.239 ; 0.969
102.104 ; 101.817 ; 101.961 ; 0.287
101.863 ; 101.191 ; 101.527 ; 0.672
101.953 ; 101.63 ; 101.791 ; 0.323
101.995 ; 101.387 ; 101.691 ; 0.607
101.964 ; 101.564 ; 101.764 ; 0.4
101.969 ; 101.483 ; 101.726 ; 0.486
102.444 ; 101.913 ; 102.178 ; 0.531
102.645 ; 101.93 ; 102.288 ; 0.714
102.013 ; 101.815 ; 101.914 ; 0.198
101.992 ; 101.863 ; 101.928 ; 0.129
104.208 ; 102.458 ; 103.233 ; 1.25
