d_max(um);d_min(um);d_avg(um);delta d 
20.357 ; 20.135 ; 20.246 ; 0.222
20.461 ; 20.225 ; 20.343 ; 0.236
20.511 ; 20.117 ; 20.314 ; 0.394
20.48 ; 20.193 ; 20.336 ; 0.287
20.812 ; 20.424 ; 20.618 ; 0.389
21.037 ; 20.626 ; 20.831 ; 0.411
20.865 ; 20.649 ; 20.757 ; 0.217
20.989 ; 20.651 ; 20.82 ; 0.337
20.707 ; 20.519 ; 20.613 ; 0.188
20.811 ; 20.529 ; 20.67 ; 0.282
20.929 ; 20.719 ; 20.824 ; 0.21
20.933 ; 20.87 ; 20.901 ; 0.064
21.193 ; 20.768 ; 20.981 ; 0.425
20.978 ; 20.645 ; 20.812 ; 0.333
20.912 ; 20.807 ; 20.86 ; 0.106
20.761 ; 20.557 ; 20.659 ; 0.203
21.12 ; 20.92 ; 21.02 ; 0.2
21.068 ; 20.989 ; 21.028 ; 0.079
21.018 ; 20.832 ; 20.925 ; 0.185
21.148 ; 20.789 ; 20.969 ; 0.359
20.979 ; 20.606 ; 20.792 ; 0.373
20.893 ; 20.708 ; 20.801 ; 0.185
21.124 ; 20.943 ; 21.033 ; 0.181
20.963 ; 20.834 ; 20.899 ; 0.128
21.066 ; 20.796 ; 20.931 ; 0.27
20.825 ; 20.669 ; 20.747 ; 0.156
20.832 ; 20.196 ; 20.514 ; 0.635
20.656 ; 20.219 ; 20.437 ; 0.438
21.57 ; 20.921 ; 21.245 ; 0.649
21.401 ; 21.075 ; 21.238 ; 0.325
21.448 ; 21.057 ; 21.252 ; 0.391
21.055 ; 20.892 ; 20.974 ; 0.163
21.225 ; 20.813 ; 21.019 ; 0.412
20.842 ; 20.532 ; 20.687 ; 0.31
21.461 ; 21.037 ; 21.249 ; 0.424
21.411 ; 21.125 ; 21.268 ; 0.286
21.47 ; 21.063 ; 21.267 ; 0.408
21.297 ; 21.141 ; 21.219 ; 0.156
21.077 ; 20.72 ; 20.898 ; 0.358
21.102 ; 20.683 ; 20.893 ; 0.419
21.352 ; 21.147 ; 21.249 ; 0.204
21.373 ; 21.23 ; 21.301 ; 0.143
21.331 ; 21.048 ; 21.189 ; 0.283
21.309 ; 20.853 ; 21.081 ; 0.456
21.015 ; 20.945 ; 20.98 ; 0.071
21.057 ; 20.789 ; 20.923 ; 0.268
21.306 ; 21.165 ; 21.235 ; 0.141
21.527 ; 21.144 ; 21.335 ; 0.384
21.302 ; 21.128 ; 21.215 ; 0.174
21.238 ; 21.032 ; 21.135 ; 0.206
21.052 ; 20.744 ; 20.898 ; 0.307
20.757 ; 20.53 ; 20.643 ; 0.227
20.977 ; 20.604 ; 20.791 ; 0.373
20.89 ; 20.857 ; 20.874 ; 0.033
20.943 ; 20.793 ; 20.868 ; 0.15
21.087 ; 20.471 ; 20.779 ; 0.616
21.84 ; 21.089 ; 21.464 ; 0.751
22.033 ; 21.154 ; 21.593 ; 0.879
21.601 ; 21.266 ; 21.433 ; 0.336
21.56 ; 21.315 ; 21.437 ; 0.245
21.698 ; 20.743 ; 21.22 ; 0.955
22.554 ; 20.983 ; 21.769 ; 1.57
21.82 ; 21.115 ; 21.467 ; 0.705
21.569 ; 21.135 ; 21.352 ; 0.434
21.894 ; 21.066 ; 21.48 ; 0.828
21.487 ; 20.765 ; 21.126 ; 0.722
22.3 ; 21.122 ; 21.711 ; 1.177
21.967 ; 21.179 ; 21.573 ; 0.788
22.062 ; 21.083 ; 21.573 ; 0.98
21.639 ; 20.941 ; 21.29 ; 0.698
21.836 ; 20.691 ; 21.263 ; 1.145
22.698 ; 20.971 ; 21.835 ; 1.727
22.367 ; 20.977 ; 21.672 ; 1.39
21.841 ; 21.159 ; 21.5 ; 0.682
21.667 ; 20.943 ; 21.305 ; 0.724
21.868 ; 20.968 ; 21.418 ; 0.9
21.882 ; 20.525 ; 21.204 ; 1.357
21.295 ; 20.921 ; 21.108 ; 0.375
21.633 ; 20.863 ; 21.248 ; 0.77
21.512 ; 20.992 ; 21.252 ; 0.52
21.411 ; 20.998 ; 21.204 ; 0.413
21.358 ; 20.715 ; 21.037 ; 0.644
21.37 ; 21.035 ; 21.203 ; 0.335
21.564 ; 21.251 ; 21.408 ; 0.314
21.455 ; 21.115 ; 21.285 ; 0.34
21.719 ; 21.042 ; 21.381 ; 0.677
21.185 ; 21.095 ; 21.14 ; 0.09
21.467 ; 20.685 ; 21.076 ; 0.782
21.29 ; 21.139 ; 21.214 ; 0.151
21.407 ; 21.32 ; 21.363 ; 0.087
21.645 ; 21.144 ; 21.395 ; 0.502
21.451 ; 21.161 ; 21.306 ; 0.29
21.302 ; 20.936 ; 21.119 ; 0.366
21.207 ; 20.776 ; 20.991 ; 0.43
21.377 ; 21.201 ; 21.289 ; 0.176
21.269 ; 21.065 ; 21.167 ; 0.205
21.341 ; 21.19 ; 21.265 ; 0.151
21.469 ; 21.192 ; 21.33 ; 0.277
21.281 ; 21.016 ; 21.148 ; 0.265
21.074 ; 20.858 ; 20.966 ; 0.216
21.109 ; 20.853 ; 20.981 ; 0.255
21.459 ; 20.734 ; 21.096 ; 0.725
21.143 ; 20.853 ; 20.998 ; 0.29
21.121 ; 20.742 ; 20.932 ; 0.379
21.069 ; 20.593 ; 20.831 ; 0.476
20.968 ; 20.787 ; 20.878 ; 0.181
21.066 ; 20.434 ; 20.75 ; 0.632
21.126 ; 20.603 ; 20.864 ; 0.523
20.673 ; 20.066 ; 20.369 ; 0.608
21.319 ; 20.808 ; 21.063 ; 0.511
20.627 ; 19.953 ; 20.29 ; 0.673
21.171 ; 20.284 ; 20.728 ; 0.887
20.667 ; 20.389 ; 20.528 ; 0.278
21.021 ; 20.898 ; 20.96 ; 0.123
21.097 ; 20.754 ; 20.925 ; 0.343
21.195 ; 20.232 ; 20.714 ; 0.963
21.286 ; 20.686 ; 20.986 ; 0.6
21.198 ; 20.872 ; 21.035 ; 0.326
20.153 ; 19.596 ; 19.875 ; 0.556
20.88 ; 20.358 ; 20.619 ; 0.522
21.198 ; 21.034 ; 21.116 ; 0.165
20.678 ; 20.486 ; 20.582 ; 0.191
20.912 ; 20.678 ; 20.795 ; 0.234
20.754 ; 20.424 ; 20.589 ; 0.331
21.287 ; 21.073 ; 21.18 ; 0.213
21.041 ; 20.403 ; 20.722 ; 0.638
21.305 ; 20.804 ; 21.054 ; 0.5
21.249 ; 20.869 ; 21.059 ; 0.38
20.721 ; 20.662 ; 20.691 ; 0.058
20.991 ; 20.699 ; 20.845 ; 0.292
21.335 ; 20.978 ; 21.157 ; 0.357
21.15 ; 20.771 ; 20.961 ; 0.38
20.69 ; 20.17 ; 20.43 ; 0.521
21.158 ; 20.588 ; 20.873 ; 0.569
20.657 ; 20.424 ; 20.541 ; 0.233
21.456 ; 20.988 ; 21.222 ; 0.468
21.262 ; 20.8 ; 21.031 ; 0.461
21.228 ; 21.063 ; 21.146 ; 0.165
21.003 ; 20.661 ; 20.832 ; 0.342
20.137 ; 19.63 ; 19.883 ; 0.507
20.339 ; 19.566 ; 19.953 ; 0.773
20.161 ; 19.573 ; 19.867 ; 0.588
20.915 ; 20.588 ; 20.751 ; 0.327
21.162 ; 20.55 ; 20.856 ; 0.612
19.616 ; 18.779 ; 19.197 ; 0.836
20.862 ; 20.229 ; 20.546 ; 0.633
19.485 ; 19.269 ; 19.377 ; 0.216
20.172 ; 19.898 ; 20.035 ; 0.274
21.355 ; 20.402 ; 20.879 ; 0.953
20.39 ; 20.221 ; 20.306 ; 0.17
20.56 ; 20.308 ; 20.434 ; 0.252
20.938 ; 20.72 ; 20.829 ; 0.218
20.607 ; 20.454 ; 20.53 ; 0.152
20.797 ; 20.602 ; 20.699 ; 0.195
20.129 ; 19.481 ; 19.805 ; 0.648
20.928 ; 20.475 ; 20.702 ; 0.453
20.517 ; 20.05 ; 20.284 ; 0.467
20.914 ; 20.665 ; 20.79 ; 0.249
19.506 ; 19.134 ; 19.32 ; 0.372
20.35 ; 20.09 ; 20.22 ; 0.26
21.264 ; 21.071 ; 21.168 ; 0.193
20.101 ; 19.123 ; 19.612 ; 0.977
20.427 ; 20.386 ; 20.406 ; 0.041
19.878 ; 19.638 ; 19.758 ; 0.24
21.151 ; 20.149 ; 20.65 ; 1.002
21.103 ; 20.248 ; 20.675 ; 0.855
20.695 ; 20.231 ; 20.463 ; 0.464
20.966 ; 20.591 ; 20.778 ; 0.374
21.137 ; 20.27 ; 20.704 ; 0.867
20.947 ; 20.159 ; 20.553 ; 0.788
21.138 ; 20.632 ; 20.885 ; 0.506
21.134 ; 20.518 ; 20.826 ; 0.616
21.198 ; 20.726 ; 20.962 ; 0.472
20.965 ; 20.064 ; 20.515 ; 0.901
20.856 ; 20.754 ; 20.805 ; 0.102
20.846 ; 20.172 ; 20.509 ; 0.674
21.095 ; 20.674 ; 20.885 ; 0.42
21.139 ; 20.995 ; 21.067 ; 0.144
21.401 ; 20.354 ; 20.878 ; 1.046
20.511 ; 19.651 ; 20.081 ; 0.859
21.093 ; 20.6 ; 20.846 ; 0.493
20.042 ; 19.698 ; 19.87 ; 0.344
20.768 ; 20.551 ; 20.66 ; 0.217
20.407 ; 20.113 ; 20.26 ; 0.294
20.906 ; 20.496 ; 20.701 ; 0.409
21.314 ; 20.438 ; 20.876 ; 0.876
21.238 ; 20.694 ; 20.966 ; 0.543
21.1 ; 20.361 ; 20.73 ; 0.74
20.774 ; 20.154 ; 20.464 ; 0.621
21.002 ; 20.441 ; 20.722 ; 0.56
20.878 ; 20.374 ; 20.626 ; 0.505
20.715 ; 19.998 ; 20.357 ; 0.717
21.518 ; 20.425 ; 20.972 ; 1.093
21.171 ; 20.87 ; 21.021 ; 0.301
20.969 ; 20.571 ; 20.77 ; 0.398
21.14 ; 20.261 ; 20.7 ; 0.879
20.998 ; 19.98 ; 20.489 ; 1.018
21.909 ; 21.137 ; 21.523 ; 0.772
21.084 ; 20.868 ; 20.976 ; 0.216
21.167 ; 20.946 ; 21.056 ; 0.22
21.199 ; 20.858 ; 21.028 ; 0.341
21.316 ; 21.093 ; 21.204 ; 0.223
21.993 ; 21.019 ; 21.506 ; 0.974
21.395 ; 20.946 ; 21.17 ; 0.449
21.473 ; 20.671 ; 21.072 ; 0.802
21.599 ; 20.984 ; 21.291 ; 0.615
21.166 ; 20.741 ; 20.954 ; 0.425
21.121 ; 20.649 ; 20.885 ; 0.472
21.062 ; 20.585 ; 20.824 ; 0.477
20.946 ; 20.683 ; 20.815 ; 0.264
