d_max(um);d_min(um);d_avg(um);delta d 
21.286 ; 20.921 ; 21.104 ; 0.365
21.215 ; 20.881 ; 21.048 ; 0.334
21.268 ; 20.878 ; 21.073 ; 0.39
20.661 ; 20.49 ; 20.576 ; 0.171
21.36 ; 20.916 ; 21.138 ; 0.444
21.302 ; 20.992 ; 21.147 ; 0.31
21.711 ; 20.76 ; 21.236 ; 0.951
21.124 ; 20.678 ; 20.901 ; 0.446
21.126 ; 20.744 ; 20.935 ; 0.381
21.389 ; 20.967 ; 21.178 ; 0.422
21.333 ; 21.026 ; 21.18 ; 0.308
21.553 ; 20.853 ; 21.203 ; 0.7
20.91 ; 20.432 ; 20.671 ; 0.478
21.515 ; 21.277 ; 21.396 ; 0.238
21.78 ; 21.04 ; 21.41 ; 0.74
21.518 ; 21.044 ; 21.281 ; 0.473
21.42 ; 20.28 ; 20.85 ; 1.139
20.78 ; 20.378 ; 20.579 ; 0.402
21.577 ; 20.819 ; 21.198 ; 0.758
21.312 ; 21.0 ; 21.156 ; 0.312
21.463 ; 20.698 ; 21.081 ; 0.765
21.396 ; 20.499 ; 20.948 ; 0.897
20.941 ; 20.656 ; 20.798 ; 0.285
20.96 ; 20.681 ; 20.82 ; 0.279
20.998 ; 20.808 ; 20.903 ; 0.19
21.006 ; 20.799 ; 20.902 ; 0.207
21.006 ; 20.605 ; 20.806 ; 0.4
20.683 ; 20.177 ; 20.43 ; 0.505
21.314 ; 20.934 ; 21.124 ; 0.38
21.109 ; 20.913 ; 21.011 ; 0.196
21.21 ; 20.957 ; 21.083 ; 0.253
21.155 ; 21.053 ; 21.104 ; 0.102
21.02 ; 20.908 ; 20.964 ; 0.112
21.062 ; 20.772 ; 20.917 ; 0.29
21.158 ; 20.934 ; 21.046 ; 0.224
21.189 ; 21.003 ; 21.096 ; 0.186
21.269 ; 20.989 ; 21.129 ; 0.28
21.381 ; 21.044 ; 21.213 ; 0.337
21.241 ; 20.939 ; 21.09 ; 0.302
21.071 ; 20.649 ; 20.86 ; 0.422
21.193 ; 21.033 ; 21.113 ; 0.161
21.283 ; 21.184 ; 21.234 ; 0.099
21.088 ; 21.075 ; 21.081 ; 0.013
21.244 ; 21.071 ; 21.157 ; 0.173
21.467 ; 20.779 ; 21.123 ; 0.688
21.164 ; 20.541 ; 20.853 ; 0.623
21.185 ; 20.807 ; 20.996 ; 0.378
21.228 ; 21.001 ; 21.115 ; 0.227
21.223 ; 21.101 ; 21.162 ; 0.122
21.267 ; 20.873 ; 21.07 ; 0.394
21.189 ; 20.566 ; 20.878 ; 0.622
21.052 ; 20.751 ; 20.902 ; 0.301
22.208 ; 21.608 ; 21.908 ; 0.6
22.182 ; 21.675 ; 21.929 ; 0.507
22.224 ; 21.678 ; 21.951 ; 0.546
22.347 ; 21.819 ; 22.083 ; 0.528
22.459 ; 21.859 ; 22.159 ; 0.6
22.32 ; 21.885 ; 22.103 ; 0.435
22.095 ; 21.63 ; 21.863 ; 0.465
22.004 ; 21.526 ; 21.765 ; 0.478
22.04 ; 21.505 ; 21.772 ; 0.534
22.107 ; 21.758 ; 21.933 ; 0.349
22.2 ; 21.727 ; 21.963 ; 0.473
22.308 ; 21.85 ; 22.079 ; 0.458
21.869 ; 21.55 ; 21.71 ; 0.319
21.97 ; 21.641 ; 21.805 ; 0.329
22.008 ; 21.504 ; 21.756 ; 0.504
22.174 ; 21.603 ; 21.889 ; 0.571
22.213 ; 21.685 ; 21.949 ; 0.528
22.265 ; 21.618 ; 21.942 ; 0.647
21.909 ; 21.594 ; 21.751 ; 0.315
21.949 ; 21.719 ; 21.834 ; 0.23
21.788 ; 21.612 ; 21.7 ; 0.176
21.994 ; 21.777 ; 21.885 ; 0.217
22.321 ; 21.662 ; 21.991 ; 0.659
22.308 ; 21.591 ; 21.95 ; 0.718
20.982 ; 20.406 ; 20.694 ; 0.576
21.053 ; 20.548 ; 20.801 ; 0.505
21.043 ; 20.727 ; 20.885 ; 0.316
21.019 ; 20.555 ; 20.787 ; 0.465
20.971 ; 20.714 ; 20.842 ; 0.257
20.919 ; 20.613 ; 20.766 ; 0.306
21.265 ; 20.671 ; 20.968 ; 0.594
21.255 ; 20.802 ; 21.028 ; 0.453
21.281 ; 21.083 ; 21.182 ; 0.198
21.186 ; 20.917 ; 21.052 ; 0.269
21.174 ; 20.966 ; 21.07 ; 0.208
21.261 ; 20.983 ; 21.122 ; 0.278
21.099 ; 20.898 ; 20.999 ; 0.201
21.406 ; 21.061 ; 21.233 ; 0.346
21.435 ; 20.94 ; 21.187 ; 0.495
21.359 ; 21.06 ; 21.209 ; 0.299
21.535 ; 20.936 ; 21.235 ; 0.599
21.304 ; 20.873 ; 21.089 ; 0.431
21.15 ; 21.062 ; 21.106 ; 0.088
21.206 ; 21.039 ; 21.123 ; 0.167
21.291 ; 21.191 ; 21.241 ; 0.1
21.478 ; 21.252 ; 21.365 ; 0.226
21.25 ; 21.012 ; 21.131 ; 0.238
21.229 ; 21.023 ; 21.126 ; 0.206
21.074 ; 20.696 ; 20.885 ; 0.378
21.151 ; 20.934 ; 21.043 ; 0.217
21.175 ; 21.004 ; 21.09 ; 0.17
21.275 ; 21.016 ; 21.145 ; 0.26
21.337 ; 20.894 ; 21.115 ; 0.443
21.295 ; 20.918 ; 21.106 ; 0.377
20.925 ; 20.459 ; 20.692 ; 0.466
21.013 ; 20.727 ; 20.87 ; 0.285
21.095 ; 20.675 ; 20.885 ; 0.421
21.256 ; 20.843 ; 21.05 ; 0.413
20.986 ; 20.667 ; 20.826 ; 0.318
20.876 ; 20.592 ; 20.734 ; 0.285
21.077 ; 20.636 ; 20.856 ; 0.441
21.229 ; 20.731 ; 20.98 ; 0.498
21.147 ; 20.753 ; 20.95 ; 0.394
21.283 ; 20.884 ; 21.083 ; 0.399
21.053 ; 20.647 ; 20.85 ; 0.406
21.012 ; 20.436 ; 20.724 ; 0.576
20.804 ; 20.459 ; 20.631 ; 0.345
21.025 ; 20.819 ; 20.922 ; 0.206
20.917 ; 20.584 ; 20.75 ; 0.333
20.982 ; 20.583 ; 20.782 ; 0.399
21.274 ; 20.599 ; 20.937 ; 0.674
20.81 ; 20.299 ; 20.554 ; 0.511
20.878 ; 20.704 ; 20.791 ; 0.175
21.177 ; 20.548 ; 20.863 ; 0.629
21.118 ; 20.585 ; 20.852 ; 0.533
21.197 ; 20.428 ; 20.812 ; 0.769
20.798 ; 20.412 ; 20.605 ; 0.386
20.798 ; 20.275 ; 20.537 ; 0.523
20.834 ; 20.58 ; 20.707 ; 0.255
20.956 ; 20.534 ; 20.745 ; 0.422
20.64 ; 20.428 ; 20.534 ; 0.211
20.955 ; 20.496 ; 20.725 ; 0.459
20.625 ; 20.574 ; 20.599 ; 0.051
20.442 ; 20.29 ; 20.366 ; 0.152
20.675 ; 20.239 ; 20.457 ; 0.436
20.721 ; 20.357 ; 20.539 ; 0.365
20.756 ; 20.307 ; 20.532 ; 0.449
20.497 ; 20.275 ; 20.386 ; 0.223
20.886 ; 20.552 ; 20.719 ; 0.334
20.789 ; 20.361 ; 20.575 ; 0.428
20.862 ; 20.486 ; 20.674 ; 0.376
20.573 ; 20.395 ; 20.484 ; 0.178
20.903 ; 20.506 ; 20.704 ; 0.396
21.001 ; 20.693 ; 20.847 ; 0.308
20.733 ; 20.468 ; 20.601 ; 0.265
