d_max(um);d_min(um);d_avg(um);delta d 
500.187 ; 499.803 ; 499.995 ; 0.384
500.326 ; 499.975 ; 500.15 ; 0.351
500.33 ; 499.856 ; 500.093 ; 0.474
500.366 ; 500.123 ; 500.244 ; 0.243
500.526 ; 500.123 ; 500.324 ; 0.403
500.385 ; 500.117 ; 500.251 ; 0.268
500.423 ; 499.937 ; 500.18 ; 0.487
500.322 ; 500.077 ; 500.2 ; 0.246
500.257 ; 500.173 ; 500.215 ; 0.084
500.374 ; 499.921 ; 500.147 ; 0.453
500.49 ; 500.17 ; 500.33 ; 0.32
500.423 ; 499.937 ; 500.18 ; 0.487
500.423 ; 499.937 ; 500.18 ; 0.487
500.423 ; 499.937 ; 500.18 ; 0.487
500.257 ; 500.173 ; 500.215 ; 0.084
500.257 ; 500.173 ; 500.215 ; 0.084
500.257 ; 500.173 ; 500.215 ; 0.084
